id,name,category,basis,source_url,mon,tue,wed,thu,fri,sat,sun,caveat,until,website,phone
d21253ff-40a5-493d-8592-2fe2ec27cb2b,Fugla Ness Lighthouse,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
1f8ecf2d-edc6-4811-8051-272e2e9b9cbe,Esha Ness Lighthouse,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
5ef9e450-2d24-4019-ac4e-b6bfc0b2fcb2,St. Olaf's Church ruins,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
90ad3e8a-5f98-4dcf-bf4d-114f8ce163a7,"East Burra Firth, Broch",tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
d76b9e38-8eeb-4999-82cd-7b53b1363443,Broch of Culswick,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
a7ca9345-d547-4321-9e78-ab47a2b9b995,Broch of Easter,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
6102d8af-90e6-4558-8aad-4051e364a6d5,Benston Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
5cf5cdba-8cce-4cc4-9800-fe5421da7b23,Broch of Burland,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
113ec498-d95d-47df-8b52-d6f9ff059f61,Broch of Aithsetter,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
9e89943a-18c1-4a6d-9669-a3bbec1fe743,Broch of Cullingsburgh,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
20810c1e-ae7f-47d0-b9ed-e35d5776bd24,Calback battery (WW2),tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,https://canmore.org.uk/site/115418/calback-coast-battery,
f7edc4ca-f530-4bbd-85ec-422700bac28a,Broch of Toab,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
e2e181c1-06b0-47b3-8926-af4699185be0,Dalsetter Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
0818f323-e4ba-4264-be7f-330603ffa92c,Haroldswick Chapel ruins,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
14c1846f-a827-48f4-8d9b-53b3bb307327,Hjaltadans,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
29a768f0-39c9-4201-a5f8-50fb43e670c2,Broch of West Burrafirth,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
80c0e4b6-6cdc-4e02-8bf9-1bf06fdf13f9,Hawks Ness Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
dab73372-723c-43d9-a9ae-f543b20bd286,Fugla Ness Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
3cf3b208-c2a7-4b36-b49f-86003f5496e5,Head Of Brough Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
25e5e180-2254-41fd-99cb-e54158f8a570,Burn of Aith Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
96d77cb7-862b-4391-bce9-3568b27141d7,Loch Of Brow Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
ba62ea17-caf8-4d83-a4d7-f2d4b5f3ba32,Infield Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
63df6bdd-243c-42d0-bd97-d87c5789ff6b,Holm of Copister Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
58498c41-5277-49cf-8855-d5fb04bb5549,Burgi Geo Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
a715dd4b-1b6e-45a4-9db7-22a0741c89cd,Broch of Houlland,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
d0313ae2-d487-4b18-b915-dc96e2558a9b,Clevigarth Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
b36e2020-7393-4784-90c3-df222bf937d9,Hamnavoe Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
4151f374-e77b-4c60-8ced-bc605cbd5992,Old Scatness Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
20c269fc-2c37-42f3-b434-176a89da5606,Ronas Hill Chambered Cairn,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
ababedbb-c566-472f-8e99-bd7c56dc0baf,Rounds of Tivla,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
cd8b24be-4c51-4c45-bc0c-24c67a9d608b,Stanydale Temple,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
2ec1dc27-6157-44a2-a09f-8803230311c8,Snabrough Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
7f6ba032-7ce7-436c-9562-c73acb7d344a,Ness Of Gossabrough Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
aacc9c50-56d7-493e-a3b2-a1428b8ff54c,Ram's Head Lighthouse,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
c5f414db-ecc8-4adc-9b87-aaa05bd795bc,Loch of Watsness Broch,tourism,open_access,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,
